,Date,User,Tweet
0,2023-04-12 07:33:42+00:00,PolsekMajenang6,"pada hari Rabu tanggal 12 April 2023 pukul 10.30 WIB s.d.11.00 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H dan Menjelang Idul Fitri 2023. https://t.co/eL99FrJiRK"
1,2023-04-12 07:33:34+00:00,PolsekMajenang6,"pada hari Rabu tanggal 12 April 2023 pukul 10.30 WIB s.d.11.00 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H dan Menjelang Idul Fitri 2023. https://t.co/7oMCwXXVuq"
2,2023-04-12 07:33:29+00:00,PolsekMajenang6,"pada hari Rabu tanggal 12 April 2023 pukul 10.30 WIB s.d.11.00 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H dan Menjelang Idul Fitri 2023. https://t.co/Cv4cI7hrPY"
3,2023-04-12 07:33:24+00:00,PolsekMajenang6,"pada hari Rabu tanggal 12 April 2023 pukul 10.30 WIB s.d.11.00 WIB, Polsek Majenang telah melaksanakan Pengecekan stok Bahan Bakar Minyak di SPBU di Wilayah Kecamatan Majenang, dalam rangka Ramadhan 1444 H dan Menjelang Idul Fitri 2023. https://t.co/GxRe2OqNl4"
4,2023-04-12 06:13:14+00:00,tolakbigotnkri,"PT Pertamina International Shipping (PIS) berkomitmen mengawal dan menjaga kelancaran distribusi bahan bakar minyak (BBM) dan LPG sepanjang masa Ramadan hingga Idulfitri mendatang. @jokowi @AnakLolina2 @ex_AnakLolina @lintang_ayoe @_Lin_Apr1lia @ApriliaLin
https://t.co/A2cOmyzafx"
5,2023-04-12 04:20:28+00:00,rbs_baturaja,"Rabu, 12/04/2023.

Kejaksaan Negeri Ogan Komering Ulu Timur melakukan pengecekan Bahan Bakar Minyak (BBM) di Rupbasan Baturaja. 

#Kemenkumham
#ditjenpas
#divisipassumsel
#pemasyarakatan
#KumhamPasti
#rupbasanbaturaja
#oku https://t.co/mu57Fko2MC"
6,2023-04-12 03:04:17+00:00,plnuidbali,"Terpenuhinya stok batu bara, gas dan bahan bakar minyak (BBM) di setiap pembangkit membuat PLN yakin pasokan listrik aman dan andal agar masyarakat dapat menikmati libur perayaan Idul Fitri 1444 H dengan nyaman. 
#PLNSiagaIdulFitri1444H #EnergiPrimerIdulFitriAman #SPKLUPLNRamadan https://t.co/Gru8H0xMyz"
7,2023-04-12 02:21:24+00:00,pln_uid_s2jb,"Terpenuhinya stok batu bara, gas dan bahan bakar minyak (BBM) di setiap pembangkit membuat PLN yakin pasokan listrik aman dan andal agar masyarakat dapat menikmati libur perayaan Idul Fitri 1444 H dengan nyaman. 

#TerangiRamadhan2023 #RamadhanBerkahPLN #PLNUntukIndonesia #PLN"
8,2023-04-12 00:00:33+00:00,pln_sulselrabar,"PLN melalui subholding PT PLN Energi Primer Indonesia (EPI) memastikan pasokan energi primer untuk seluruh pembangkit di Indonesia jelang libur Idul Fitri 1444 Hijriah dalam kondisi aman.

Terpenuhinya stok batu bara, gas dan bahan bakar minyak (BBM) di setiap https://t.co/ErhiOMPBHv"
9,2023-04-11 14:21:02+00:00,SobatErick2024,"Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir memastikan pasokan Bahan Bakar Minyak (BBM) saat mudik Lebaran 2023. Dia mengaku sudah memeriksa langsung pasokan energi tersebut.

#SobatErick #ErickThohir https://t.co/vT41ZOgWT5"
